det(intake-3, The-1)
amod(intake-3, concomitant-2)
nsubj(affect-10, intake-3)
case(alcohol-5, of-4)
nmod(intake-3, alcohol-5)
cc(alcohol-5, and-6)
conj(alcohol-5, Acamprosate-7)
aux(affect-10, does-8)
neg(affect-10, not-9)
root(ROOT-0, affect-10)
det(pharmacokinetics-12, the-11)
dobj(affect-10, pharmacokinetics-12)
case(alcohol-15, of-13)
cc:preconj(alcohol-15, either-14)
nmod(pharmacokinetics-12, alcohol-15)
cc(alcohol-15, or-16)
conj(alcohol-15, acamprosate-17)
punct(affect-10, .-18)

amod(studies-2, Pharmacokinetic-1)
nsubj(indicate-3, studies-2)
root(ROOT-0, indicate-3)
mark(affect-12, that-4)
nsubj(affect-12, administration-5)
case(disulfiram-7, of-6)
nmod(administration-5, disulfiram-7)
cc(disulfiram-7, or-8)
conj(disulfiram-7, diazepam-9)
aux(affect-12, does-10)
neg(affect-12, not-11)
ccomp(indicate-3, affect-12)
det(pharmacokinetics-14, the-13)
dobj(affect-12, pharmacokinetics-14)
case(acamprosate-16, of-15)
nmod(pharmacokinetics-14, acamprosate-16)
punct(indicate-3, .-17)

root(ROOT-0, Co-1)
punct(Co-1, --2)
nsubj(produced-8, administration-3)
case(naltrexone-5, of-4)
nmod(administration-3, naltrexone-5)
case(Acamprosate-7, with-6)
nmod(administration-3, Acamprosate-7)
dep(Co-1, produced-8)
det(increase-12, a-9)
compound(%-11, 25-10)
amod(increase-12, %-11)
dobj(produced-8, increase-12)
case(AUC-14, in-13)
nmod(increase-12, AUC-14)
cc(increase-12, and-15)
det(increase-19, a-16)
compound(%-18, 33-17)
amod(increase-19, %-18)
conj(increase-12, increase-19)
case(Cmax-22, in-20)
det(Cmax-22, the-21)
nmod(increase-19, Cmax-22)
case(acamprosate-24, of-23)
nmod(Cmax-22, acamprosate-24)
punct(Co-1, .-25)

neg(adjustment-2, No-1)
nsubjpass(recommended-6, adjustment-2)
case(dosage-4, of-3)
nmod(adjustment-2, dosage-4)
auxpass(recommended-6, is-5)
root(ROOT-0, recommended-6)
case(patients-9, in-7)
amod(patients-9, such-8)
nmod(recommended-6, patients-9)
punct(recommended-6, .-10)

det(pharmacokinetics-2, The-1)
nsubj(unaffected-15, pharmacokinetics-2)
case(naltrexone-4, of-3)
nmod(pharmacokinetics-2, naltrexone-4)
cc(naltrexone-4, and-5)
nmod:poss(metabolite-8, its-6)
amod(metabolite-8, major-7)
conj(naltrexone-4, metabolite-8)
nummod(metabolite-8, 6-9)
punct(metabolite-8, --10)
dep(metabolite-8, beta-11)
punct(metabolite-8, --12)
dep(metabolite-8, naltrexol-13)
cop(unaffected-15, were-14)
root(ROOT-0, unaffected-15)
case(administration-19, following-16)
compound(administration-19, co-17)
punct(administration-19, --18)
nmod(unaffected-15, administration-19)
case(Acamprosate-21, with-20)
nmod(administration-19, Acamprosate-21)
punct(unaffected-15, .-22)

amod(therapies-3, Other-1)
amod(therapies-3, concomitant-2)
nsubj(similar-35, therapies-3)
punct(therapies-3, :-4)
case(trials-7, In-5)
amod(trials-7, clinical-6)
nmod(therapies-3, trials-7)
punct(trials-7, ,-8)
det(profile-11, the-9)
compound(profile-11, safety-10)
appos(trials-7, profile-11)
case(subjects-13, in-12)
nmod(profile-11, subjects-13)
acl(subjects-13, treated-14)
case(Acamprosate-16, with-15)
nmod(treated-14, Acamprosate-16)
advmod(treated-14, concomitantly-17)
case(anxiolytics-19, with-18)
nmod(treated-14, anxiolytics-19)
punct(anxiolytics-19, ,-20)
conj(anxiolytics-19, hypnotics-21)
cc(anxiolytics-19, and-22)
conj(anxiolytics-19, sedatives-23)
punct(sedatives-23, -LRB--24)
case(benzodiazepines-26, including-25)
nmod(sedatives-23, benzodiazepines-26)
punct(sedatives-23, -RRB--27)
punct(anxiolytics-19, ,-28)
cc(anxiolytics-19, or-29)
amod(analgesics-33, non-30)
punct(analgesics-33, --31)
amod(analgesics-33, opioid-32)
conj(anxiolytics-19, analgesics-33)
cop(similar-35, was-34)
root(ROOT-0, similar-35)
case(that-37, to-36)
nmod(similar-35, that-37)
case(subjects-39, of-38)
nmod(that-37, subjects-39)
acl(subjects-39, taking-40)
dobj(taking-40, placebo-41)
case(medications-45, with-42)
det(medications-45, these-43)
amod(medications-45, concomitant-44)
nmod(taking-40, medications-45)
punct(similar-35, .-46)

root(ROOT-0, Patients-1)
acl(Patients-1, taking-2)
dobj(taking-2, Acamprosate-3)
advmod(taking-2, concomitantly-4)
case(antidepressants-6, with-5)
nmod(taking-2, antidepressants-6)
advmod(commonly-8, more-7)
advmod(reported-9, commonly-8)
dep(taking-2, reported-9)
cc:preconj(gain-12, both-10)
compound(gain-12, weight-11)
dobj(reported-9, gain-12)
cc(gain-12, and-13)
compound(loss-15, weight-14)
conj(gain-12, loss-15)
punct(gain-12, ,-16)
case(patients-19, compared-17)
case(patients-19, with-18)
nmod(gain-12, patients-19)
acl(patients-19, taking-20)
det(medication-22, either-21)
dobj(taking-20, medication-22)
advmod(taking-20, alone-23)
punct(Patients-1, .-24)

compound(interactions-2, Drug-1)
nsubjpass(evaluated-12, interactions-2)
case(NEUPOGEN-4, between-3)
nmod(interactions-2, NEUPOGEN-4)
cc(NEUPOGEN-4, and-5)
amod(drugs-7, other-6)
conj(NEUPOGEN-4, drugs-7)
aux(evaluated-12, have-8)
neg(evaluated-12, not-9)
auxpass(evaluated-12, been-10)
advmod(evaluated-12, fully-11)
root(ROOT-0, evaluated-12)
punct(evaluated-12, .-13)

nsubjpass(used-16, Drugs-1)
nsubj(potentiate-4, which-2)
aux(potentiate-4, may-3)
acl:relcl(Drugs-1, potentiate-4)
det(release-6, the-5)
dobj(potentiate-4, release-6)
